0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:22 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:22 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:24 +0530] "GET /StudentFeedBackSystem/UserServlet?action=seeSpecificfeedback HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:24 +0530] "GET /StudentFeedBackSystem/specificStafflFeedback.jsp HTTP/1.1" 200 4759
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:25 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:25 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:34 +0530] "GET /StudentFeedBackSystem/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:34 +0530] "GET /StudentFeedBackSystem/home.jsp HTTP/1.1" 200 8528
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:41 +0530] "GET /StudentFeedBackSystem/studentlogin.jsp HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:41 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:41 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:59 +0530] "GET /StudentFeedBackSystem/registerstudent.jsp HTTP/1.1" 200 7913
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:59 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:59 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:48:14 +0530] "GET /StudentFeedBackSystem/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:48:14 +0530] "GET /StudentFeedBackSystem/home.jsp HTTP/1.1" 200 8528
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:48:16 +0530] "GET /StudentFeedBackSystem/studentlogin.jsp HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:48:16 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:48:16 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:48:19 +0530] "GET /StudentFeedBackSystem/home.jsp HTTP/1.1" 200 8528
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:48:20 +0530] "GET /StudentFeedBackSystem/studentlogin.jsp HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:48:20 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:48:20 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:48:53 +0530] "POST /StudentFeedBackSystem/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:48:53 +0530] "GET /StudentFeedBackSystem/stafflist.jsp HTTP/1.1" 200 6111
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:48:53 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
